-5,5,19,-11,3,9,45,21,-1,-9,15,27,3,19,13,35,13,5,29,27,-7,-23,-37,-19,9,7,13,23,15,-35,-47,-37,3,-21,-27,19,9,-21,-41,-27,-15,-27,-39,-3,-21,19,-15,-15,-19,-19,-19,-29,-7,-15,-21,-3,5,21,35,19,-3,-27,-23,-15
-53,53,67,37,-11,23,1,-59,-9,47,33,9,65,19,-35,-77,1,29,7,57,59,17,-29,-35,3,9,5,45,19,-21,-21,-27,15,45,31,5,-11,-23,-27,-35,43,51,23,25,-7,-51,-53,-45,41,27,25,29,-39,-37,-65,-71,17,15,13,11,-41,-15,-59,-85
28,48,58,12,8,14,20,-18,46,48,-18,-22,-6,-10,-48,-72,54,12,6,14,-4,-60,-52,-48,46,28,30,34,-14,-48,-48,-28,72,38,34,2,-34,-72,-72,-68,72,30,0,-16,-18,-90,-108,-90,56,-18,-26,-6,-74,-104,-88,-72,20,-42,-30,-82,-128,-104,-80,-62
23,1,11,7,3,-39,-69,-77,17,35,29,13,-41,-103,-77,-71,51,49,11,-7,-27,-19,3,5,49,33,-9,19,77,55,43,31,39,1,-9,23,37,-11,-11,-23,27,29,-9,-17,-19,-41,-27,-39,37,33,-19,-39,-47,-35,-25,-25,19,-11,-19,-43,-29,-17,-7,-13
39,15,9,-11,-27,-53,-21,-9,27,5,-3,-31,-57,-19,9,17,25,9,1,-41,13,-9,-61,-55,41,7,11,11,-27,-105,-105,-61,49,25,25,17,-39,-55,-49,-49,17,11,-1,-13,-31,-31,-53,-51,23,3,-11,-37,-45,-61,-49,-33,33,45,29,49,-3,-39,-29,-25
-28,-66,-28,14,10,-22,-6,28,-40,-42,-34,-34,-24,18,60,78,-20,-58,-62,8,-2,44,64,40,-46,-84,-46,12,-22,12,6,-16,-72,-94,-4,8,-20,-6,-6,14,-66,-80,16,2,2,40,50,14,-52,-48,-2,34,56,90,30,38,-68,-30,40,36,90,60,-14,10
-98,-50,-42,-52,18,42,22,-10,-68,-38,-56,-28,32,8,-14,2,-62,-52,-28,-8,-20,4,14,2,-82,-16,10,-8,-14,24,14,-8,-82,30,24,8,8,2,14,-32,-64,-22,-12,56,26,28,12,-18,-32,-44,4,60,6,10,6,-28,-48,-48,-40,-2,6,10,-18,-42
-15,-11,5,27,-25,-51,-37,-29,-3,-21,-15,-33,-35,-13,-5,-29,-15,-27,1,-13,35,31,27,9,-53,-59,-33,-9,27,33,23,5,-63,-39,-43,-5,-3,-35,-11,-7,-41,-17,-17,-17,-27,-47,-25,-21,-23,-15,-33,-45,-15,-37,-29,-13,-31,-3,-37,-23,-21,-17,-9,-27
-73,-47,-29,-29,-9,-9,1,33,-55,-11,-11,9,-5,29,55,45,-49,-25,-29,-55,-15,33,37,-9,-41,-25,-53,-57,-35,-7,-25,-43,-37,-13,-21,-5,-11,21,9,-19,-21,7,-21,5,5,37,27,3,-9,-9,3,23,39,45,-9,-37,-9,5,-15,21,35,-1,-47,-47
-5,-35,-31,21,45,-39,-65,-93,-27,-49,13,39,-1,-39,-31,-7,-41,-21,1,-15,29,17,27,5,-37,-1,-41,11,63,17,-17,-41,-19,-33,7,7,-13,-1,-35,-43,-45,-9,17,11,-3,-33,-51,-35,-55,19,-29,-15,-35,-49,-37,-47,-39,-31,-53,17,-3,-11,-13,-47
