-36,10,-2,4,12,8,6,4,-30,-4,-20,-10,-4,-8,-12,-10,-22,10,-8,-24,-36,-32,-26,-30,-6,28,6,-18,-36,-48,-38,-34,18,24,2,-4,-10,-18,-38,-38,20,2,0,16,10,-16,-32,-40,-2,-20,-8,8,12,-4,-28,-38,-18,-26,-16,-28,-32,-24,-32,-36
32,50,64,18,-18,-14,-16,-10,30,46,46,0,-12,-4,-10,-34,40,46,16,8,14,-6,-44,-58,40,50,24,8,-6,-30,-52,-46,54,62,24,-10,-26,-40,-46,-34,64,66,10,-28,-28,-48,-40,-18,62,54,-8,-2,-22,-62,-42,-20,36,-4,2,8,-30,-68,-46,-22
-46,-36,-18,8,8,4,4,18,-62,-54,-26,-8,-6,-4,8,0,-52,-26,-16,-22,0,6,-2,-30,-24,6,-6,-4,-2,-20,-36,-54,-2,16,-10,-2,4,-8,-42,-56,-14,4,2,10,-4,-22,-30,-54,-38,-4,0,8,8,-6,-22,-32,-52,-34,-10,16,0,-32,-42,-42
-34,-24,-18,-2,-8,-4,4,-12,-30,-8,16,-6,10,-4,-16,-24,-32,6,20,6,-6,-22,-30,-26,-44,-18,0,18,20,-16,-22,-20,-48,-42,-26,4,26,12,-12,-28,-34,-28,-34,0,18,2,-16,-28,-12,4,-10,0,-6,-22,-22,-34,10,2,-14,-10,-30,-34,-24,-24
-39,-37,-9,3,5,-5,-3,-25,-29,-33,-11,-3,-7,-5,-1,-15,-35,-47,-37,-27,1,3,-5,3,-41,-43,-17,-11,-1,-3,-15,-25,-41,-31,7,-1,-7,-17,-29,-61,-43,-15,11,-13,-21,-29,-43,-65,-45,-11,3,-3,-9,-23,-45,-55,-47,-25,-13,-3,-3,-27,-43,-55
-10,-6,18,14,-24,-32,-40,-52,-12,12,22,-2,-24,-44,-46,-44,2,0,-10,-20,-8,-18,-20,2,-6,-28,-24,0,28,24,32,32,-12,-24,-16,-6,12,2,-6,-16,-4,4,-2,-18,-22,-34,-38,-36,20,20,-6,-32,-44,-38,-38,-28,6,-4,-18,-34,-44,-28,-20,-14
-21,-25,-17,-13,5,-7,-3,1,-15,-21,-17,-7,-1,-21,-19,-13,-19,-15,-1,-21,-27,-31,-25,-29,-35,-31,-25,-43,-33,-7,-1,-7,-41,-39,-37,-39,-19,9,15,-5,-31,-21,-23,-11,-21,3,-7,-21,-17,-9,-21,-19,-33,-17,-29,-33,-21,-17,-45,-59,-59,-45,-53,-47
-7,1,-3,-17,-19,-29,-21,-27,-29,-13,-21,-35,-41,-63,-71,-59,-15,-15,-27,-51,-53,-53,-43,-37,3,5,-13,-15,-13,-21,-29,-17,7,9,1,-7,-13,-11,-17,-15,-5,-19,-29,-27,-33,-21,-21,-19,-9,-27,-37,-41,-53,-37,-45,-29,-23,-39,-67,-63,-57,-41,-33,-25
-28,-44,-52,-44,-20,-18,-34,-38,-28,-38,-50,-38,-12,-16,-8,0,-32,-30,-18,-24,-20,-20,-16,-30,-28,-16,4,-24,-32,-22,-42,-52,-44,-34,-26,-28,-38,-56,-62,-60,-50,-58,-48,-26,-24,-26,-40,-48,-46,-44,-36,-30,-34,-34,-34,-40,-30,0,-2,-16,-26,-36,-40,-36
-43,-19,27,-1,11,-17,-35,-35,-19,11,25,11,5,-3,-17,-31,-15,13,11,15,15,15,1,-33,-37,-3,17,37,27,17,-11,-29,-43,-1,-3,15,-7,-19,-41,-35,-17,15,-3,5,-17,-33,-29,-25,13,21,-1,5,-25,-35,-29,-21,29,13,-1,-9,-27,-37,-27,-23
-33,-13,-17,-25,-5,3,-3,-19,-27,-17,-11,3,33,17,-7,-41,-7,-5,-1,33,27,-5,-17,-43,-13,5,-9,-3,11,-5,-11,-31,-21,-13,-31,-11,-9,-19,-13,-23,-25,-29,-29,-3,-25,-37,-35,-39,-23,-13,5,21,-7,-29,-39,-31,15,31,51,23,-21,-43,-45,-39
-4,0,18,14,-22,-28,-32,-24,-8,18,10,-22,-20,-8,-12,-20,-8,4,-6,-20,-4,-4,-16,-34,-4,-4,-4,6,14,-6,-18,-34,-4,-2,-10,-12,-16,-30,-48,-46,-6,0,-16,-32,-32,-28,-44,-40,14,8,-22,-34,-32,-42,-48,-46,10,6,2,-12,-22,-38,-38,-38
-13,-21,-21,7,-9,-13,-15,-27,-19,-19,5,-7,-25,-23,-35,-37,-11,-7,-5,-27,-25,-15,-35,-27,-1,-15,-13,-25,-13,-9,-1,9,-11,-15,5,3,19,25,25,9,-21,-13,17,5,13,21,-9,-21,-17,-3,3,-25,-19,-31,-35,-31,-21,-3,-25,-21,-25,-35,-27,-33
-36,-34,-22,-26,-34,-32,-16,-2,-44,-40,-34,-32,-24,-2,-4,-4,-50,-32,-12,-18,-18,-22,-30,-40,-26,-4,-4,-6,-18,-26,-38,-36,-10,4,-4,-14,-24,-18,-42,-48,-16,2,-2,-18,-18,-14,-48,-58,-38,-12,-12,-30,-24,-22,-36,-58,-40,-12,-16,-16,-20,-22,-30,-40
-35,-39,-29,11,19,7,-13,-31,-39,-39,-7,29,23,17,3,-29,-45,-47,-9,13,17,27,19,-19,-49,-59,-23,21,39,27,3,-21,-51,-63,-31,3,-9,-17,-17,-33,-49,-43,-13,5,-21,-29,-29,-23,-41,-7,11,5,-9,-25,-33,-27,-35,7,1,-13,-13,-19,-31,-41
-20,-20,-22,-30,-36,-34,-50,-50,-4,-10,-26,-26,-16,-8,-28,-32,0,6,-16,-12,-8,-2,-28,-50,-12,20,-10,-22,-26,-10,-28,-34,-14,12,4,-24,-46,-36,-44,-48,-22,-10,-12,-16,-50,-56,-46,-26,-20,-30,-26,-14,-26,-56,-36,-20,18,4,14,18,4,-38,-32,-28
